model,repeat,fold,pair_id,subject_id,axis,positive_earlier_calc,correct
CONTROL_REFIT,9,1,V4UDW2_013_P01,V4UDW2_013,STATUS,False,1.0
CONTROL_REFIT,9,1,V4UDW2_015_P01,V4UDW2_015,STATUS,False,0.0
CONTROL_REFIT,9,1,V4UDW2_018_P01,V4UDW2_018,STATUS,True,0.0
CONTROL_REFIT,9,1,V4UDW2_020_P01,V4UDW2_020,STATUS,True,1.0
CONTROL_REFIT,9,1,V4UDW2_021_P01,V4UDW2_021,STATUS,True,1.0
CONTROL_REFIT,9,1,V4UDW2_022_P01,V4UDW2_022,STATUS,True,1.0
CONTROL_REFIT,9,1,V4UDW2_036_P01,V4UDW2_036,STATUS,True,0.0
CONTROL_REFIT,9,2,V4UD_013_P01,V4UD_013,COMPETITIVE,False,1.0
CONTROL_REFIT,9,2,V4UD_003_P01,V4UD_003,COMPETITIVE,True,0.0
CONTROL_REFIT,9,2,V4UD_020_P01,V4UD_020,COMPETITIVE,False,1.0
CONTROL_REFIT,9,2,V4UD_021_P01,V4UD_021,COMPETITIVE,True,1.0
CONTROL_REFIT,9,2,V4UD_025_P01,V4UD_025,COMPETITIVE,True,1.0
CONTROL_REFIT,9,2,V4UD_033_P01,V4UD_033,PROJECT,False,0.0
CONTROL_REFIT,9,2,V4UD_050_P01,V4UD_050,PROJECT,False,0.0
CONTROL_REFIT,9,2,V4UD_051_P01,V4UD_051,PROJECT,False,0.0
CONTROL_REFIT,9,2,V4UD_081_P01,V4UD_081,STATUS,False,1.0
CONTROL_REFIT,9,2,V4UD_082_P01,V4UD_082,STATUS,True,1.0
CONTROL_REFIT,9,2,V4UD_091_P01,V4UD_091,STATUS,True,1.0
CONTROL_REFIT,9,2,V4UD_092_P01,V4UD_092,STATUS,False,1.0
CONTROL_REFIT,9,2,V4UD_094_P01,V4UD_094,STATUS,True,1.0
CONTROL_REFIT,9,2,V4UDW2_001_P01,V4UDW2_001,COMPETITIVE,True,1.0
CONTROL_REFIT,9,2,V4UDW2_006_P01,V4UDW2_006,PROJECT,True,1.0
CONTROL_REFIT,9,2,V4UDW2_009_P01,V4UDW2_009,PROJECT,False,0.0
CONTROL_REFIT,9,2,V4UDW2_016_P01,V4UDW2_016,STATUS,True,0.0
CONTROL_REFIT,9,2,V4UDW2_019_P01,V4UDW2_019,STATUS,True,0.0
CONTROL_REFIT,9,2,V4UDW2_029_P01,V4UDW2_029,STATUS,True,1.0
CONTROL_REFIT,9,2,V4UDW2_040_P01,V4UDW2_040,STATUS,True,1.0
CONTROL_REFIT,9,3,V4UD_016_P01,V4UD_016,COMPETITIVE,True,0.0
CONTROL_REFIT,9,3,V4UD_004_P01,V4UD_004,COMPETITIVE,True,1.0
CONTROL_REFIT,9,3,V4UD_024_P01,V4UD_024,COMPETITIVE,False,1.0
CONTROL_REFIT,9,3,V4UD_026_P01,V4UD_026,COMPETITIVE,True,1.0
CONTROL_REFIT,9,3,V4UD_006_P01,V4UD_006,COMPETITIVE,False,0.0
CONTROL_REFIT,9,3,V4UD_029_P01,V4UD_029,COMPETITIVE,False,1.0
CONTROL_REFIT,9,3,V4UD_031_P01,V4UD_031,PROJECT,False,1.0
CONTROL_REFIT,9,3,V4UD_032_P01,V4UD_032,PROJECT,False,1.0
CONTROL_REFIT,9,3,V4UD_052_P01,V4UD_052,PROJECT,False,1.0
CONTROL_REFIT,9,3,V4UD_061_P01,V4UD_061,STATUS,True,1.0
CONTROL_REFIT,9,3,V4UD_065_P01,V4UD_065,STATUS,False,0.0
CONTROL_REFIT,9,3,V4UD_076_P01,V4UD_076,STATUS,True,0.0
CONTROL_REFIT,9,3,V4UD_077_P01,V4UD_077,STATUS,True,0.0
CONTROL_REFIT,9,3,V4UD_083_P01,V4UD_083,STATUS,True,1.0
CONTROL_REFIT,9,3,V4UD_085_P01,V4UD_085,STATUS,True,1.0
CONTROL_REFIT,9,3,V4UDW2_004_P01,V4UDW2_004,PROJECT,True,1.0
CONTROL_REFIT,9,3,V4UDW2_005_P01,V4UDW2_005,PROJECT,False,1.0
CONTROL_REFIT,9,3,V4UDW2_023_P01,V4UDW2_023,STATUS,True,0.0
CONTROL_REFIT,9,3,V4UDW2_030_P01,V4UDW2_030,STATUS,False,1.0
CONTROL_REFIT,9,3,V4UDW2_043_P01,V4UDW2_043,STATUS,True,1.0
CONTROL_REFIT,9,4,V4UD_001_P01,V4UD_001,COMPETITIVE,False,1.0
CONTROL_REFIT,9,4,V4UD_010_P01,V4UD_010,COMPETITIVE,True,0.0
CONTROL_REFIT,9,4,V4UD_002_P01,V4UD_002,COMPETITIVE,True,0.0
CONTROL_REFIT,9,4,V4UD_014_P01,V4UD_014,COMPETITIVE,False,1.0
CONTROL_REFIT,9,4,V4UD_018_P01,V4UD_018,COMPETITIVE,True,0.0
CONTROL_REFIT,9,4,V4UD_023_P01,V4UD_023,COMPETITIVE,False,0.0
CONTROL_REFIT,9,4,V4UD_039_P01,V4UD_039,PROJECT,False,1.0
CONTROL_REFIT,9,4,V4UD_049_P01,V4UD_049,PROJECT,False,1.0
CONTROL_REFIT,9,4,V4UD_053_P01,V4UD_053,PROJECT,False,0.0
CONTROL_REFIT,9,4,V4UD_054_P01,V4UD_054,PROJECT,False,1.0
CONTROL_REFIT,9,4,V4UD_060_P01,V4UD_060,STATUS,False,0.0
CONTROL_REFIT,9,4,V4UD_074_P01,V4UD_074,STATUS,True,1.0
CONTROL_REFIT,9,4,V4UD_080_P01,V4UD_080,STATUS,True,1.0
CONTROL_REFIT,9,4,V4UD_086_P01,V4UD_086,STATUS,False,1.0
CONTROL_REFIT,9,4,V4UD_088_P01,V4UD_088,STATUS,True,0.0
CONTROL_REFIT,9,4,V4UD_089_P01,V4UD_089,STATUS,True,0.0
CONTROL_REFIT,9,4,V4UD_100_P01,V4UD_100,STATUS,True,1.0
CONTROL_REFIT,9,4,V4UDW2_007_P01,V4UDW2_007,PROJECT,True,1.0
CONTROL_REFIT,9,4,V4UDW2_024_P01,V4UDW2_024,STATUS,True,0.0
CONTROL_REFIT,9,4,V4UDW2_034_P01,V4UDW2_034,STATUS,True,0.0
FAMILY_ONLY__basic,0,0,V4UD_001_P01,V4UD_001,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,0,0,V4UD_014_P01,V4UD_014,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,0,0,V4UD_015_P01,V4UD_015,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,0,0,V4UD_017_P01,V4UD_017,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,0,V4UD_018_P01,V4UD_018,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,0,0,V4UD_030_P01,V4UD_030,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,0,0,V4UD_046_P01,V4UD_046,PROJECT,False,1.0
FAMILY_ONLY__basic,0,0,V4UD_049_P01,V4UD_049,PROJECT,False,1.0
FAMILY_ONLY__basic,0,0,V4UD_051_P01,V4UD_051,PROJECT,False,1.0
FAMILY_ONLY__basic,0,0,V4UD_074_P01,V4UD_074,STATUS,True,0.0
FAMILY_ONLY__basic,0,0,V4UD_078_P01,V4UD_078,STATUS,True,0.0
FAMILY_ONLY__basic,0,0,V4UD_088_P01,V4UD_088,STATUS,True,1.0
FAMILY_ONLY__basic,0,0,V4UD_093_P01,V4UD_093,STATUS,True,1.0
FAMILY_ONLY__basic,0,0,V4UDW2_002_P01,V4UDW2_002,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,0,V4UDW2_007_P01,V4UDW2_007,PROJECT,True,1.0
FAMILY_ONLY__basic,0,0,V4UDW2_009_P01,V4UDW2_009,PROJECT,False,1.0
FAMILY_ONLY__basic,0,0,V4UDW2_015_P01,V4UDW2_015,STATUS,False,0.0
FAMILY_ONLY__basic,0,0,V4UDW2_021_P01,V4UDW2_021,STATUS,True,1.0
FAMILY_ONLY__basic,0,0,V4UDW2_023_P01,V4UDW2_023,STATUS,True,0.0
FAMILY_ONLY__basic,0,0,V4UDW2_030_P01,V4UDW2_030,STATUS,False,0.0
FAMILY_ONLY__basic,0,0,V4UDW2_036_P01,V4UDW2_036,STATUS,True,1.0
FAMILY_ONLY__basic,0,1,V4UD_009_P01,V4UD_009,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,0,1,V4UD_010_P01,V4UD_010,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,1,V4UD_002_P01,V4UD_002,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,1,V4UD_003_P01,V4UD_003,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,1,V4UD_020_P01,V4UD_020,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,0,1,V4UD_027_P01,V4UD_027,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,0,1,V4UD_042_P01,V4UD_042,PROJECT,False,0.0
FAMILY_ONLY__basic,0,1,V4UD_043_P01,V4UD_043,PROJECT,False,0.0
FAMILY_ONLY__basic,0,1,V4UD_050_P01,V4UD_050,PROJECT,False,1.0
FAMILY_ONLY__basic,0,1,V4UD_057_P01,V4UD_057,STATUS,False,0.0
FAMILY_ONLY__basic,0,1,V4UD_065_P01,V4UD_065,STATUS,False,0.0
FAMILY_ONLY__basic,0,1,V4UD_066_P01,V4UD_066,STATUS,True,0.0
FAMILY_ONLY__basic,0,1,V4UD_080_P01,V4UD_080,STATUS,True,1.0
FAMILY_ONLY__basic,0,1,V4UD_084_P01,V4UD_084,STATUS,False,0.0
FAMILY_ONLY__basic,0,1,V4UD_094_P01,V4UD_094,STATUS,True,1.0
FAMILY_ONLY__basic,0,1,V4UD_098_P01,V4UD_098,STATUS,True,0.0
FAMILY_ONLY__basic,0,1,V4UDW2_004_P01,V4UDW2_004,PROJECT,True,1.0
FAMILY_ONLY__basic,0,1,V4UDW2_005_P01,V4UDW2_005,PROJECT,False,0.0
FAMILY_ONLY__basic,0,1,V4UDW2_016_P01,V4UDW2_016,STATUS,True,0.0
FAMILY_ONLY__basic,0,1,V4UDW2_029_P01,V4UDW2_029,STATUS,True,1.0
FAMILY_ONLY__basic,0,2,V4UD_016_P01,V4UD_016,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,2,V4UD_019_P01,V4UD_019,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,2,V4UD_021_P01,V4UD_021,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,2,V4UD_023_P01,V4UD_023,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,0,2,V4UD_024_P01,V4UD_024,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,0,2,V4UD_026_P01,V4UD_026,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,2,V4UD_039_P01,V4UD_039,PROJECT,False,1.0
FAMILY_ONLY__basic,0,2,V4UD_031_P01,V4UD_031,PROJECT,False,0.0
FAMILY_ONLY__basic,0,2,V4UD_040_P01,V4UD_040,PROJECT,False,0.0
FAMILY_ONLY__basic,0,2,V4UD_053_P01,V4UD_053,PROJECT,False,1.0
FAMILY_ONLY__basic,0,2,V4UD_061_P01,V4UD_061,STATUS,True,1.0
FAMILY_ONLY__basic,0,2,V4UD_069_P01,V4UD_069,STATUS,True,0.0
FAMILY_ONLY__basic,0,2,V4UD_081_P01,V4UD_081,STATUS,False,1.0
FAMILY_ONLY__basic,0,2,V4UD_085_P01,V4UD_085,STATUS,True,0.0
FAMILY_ONLY__basic,0,2,V4UD_091_P01,V4UD_091,STATUS,True,0.0
FAMILY_ONLY__basic,0,2,V4UDW2_006_P01,V4UDW2_006,PROJECT,True,1.0
FAMILY_ONLY__basic,0,2,V4UDW2_020_P01,V4UDW2_020,STATUS,True,0.0
FAMILY_ONLY__basic,0,2,V4UDW2_022_P01,V4UDW2_022,STATUS,True,0.0
FAMILY_ONLY__basic,0,2,V4UDW2_043_P01,V4UDW2_043,STATUS,True,1.0
FAMILY_ONLY__basic,0,2,V4UDW2_044_P01,V4UDW2_044,STATUS,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_008_P01,V4UD_008,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,3,V4UD_013_P01,V4UD_013,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_004_P01,V4UD_004,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,3,V4UD_022_P01,V4UD_022,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_029_P01,V4UD_029,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_033_P01,V4UD_033,PROJECT,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_048_P01,V4UD_048,PROJECT,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_052_P01,V4UD_052,PROJECT,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_054_P01,V4UD_054,PROJECT,False,0.0
FAMILY_ONLY__basic,0,3,V4UD_060_P01,V4UD_060,STATUS,False,1.0
FAMILY_ONLY__basic,0,3,V4UD_063_P01,V4UD_063,STATUS,True,1.0
FAMILY_ONLY__basic,0,3,V4UD_082_P01,V4UD_082,STATUS,True,1.0
FAMILY_ONLY__basic,0,3,V4UD_086_P01,V4UD_086,STATUS,False,1.0
FAMILY_ONLY__basic,0,3,V4UD_089_P01,V4UD_089,STATUS,True,0.0
FAMILY_ONLY__basic,0,3,V4UDW2_001_P01,V4UDW2_001,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,3,V4UDW2_010_P01,V4UDW2_010,PROJECT,True,0.0
FAMILY_ONLY__basic,0,3,V4UDW2_018_P01,V4UDW2_018,STATUS,True,0.0
FAMILY_ONLY__basic,0,3,V4UDW2_034_P01,V4UDW2_034,STATUS,True,1.0
FAMILY_ONLY__basic,0,3,V4UDW2_038_P01,V4UDW2_038,STATUS,True,1.0
FAMILY_ONLY__basic,0,3,V4UDW2_040_P01,V4UDW2_040,STATUS,True,1.0
FAMILY_ONLY__basic,0,4,V4UD_007_P01,V4UD_007,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,0,4,V4UD_012_P01,V4UD_012,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,0,4,V4UD_025_P01,V4UD_025,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,0,4,V4UD_005_P01,V4UD_005,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,0,4,V4UD_006_P01,V4UD_006,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,0,4,V4UD_036_P01,V4UD_036,PROJECT,False,1.0
FAMILY_ONLY__basic,0,4,V4UD_038_P01,V4UD_038,PROJECT,False,0.0
FAMILY_ONLY__basic,0,4,V4UD_032_P01,V4UD_032,PROJECT,False,1.0
FAMILY_ONLY__basic,0,4,V4UD_044_P01,V4UD_044,PROJECT,False,1.0
FAMILY_ONLY__basic,0,4,V4UD_055_P01,V4UD_055,PROJECT,True,0.0
FAMILY_ONLY__basic,0,4,V4UD_076_P01,V4UD_076,STATUS,True,1.0
FAMILY_ONLY__basic,0,4,V4UD_077_P01,V4UD_077,STATUS,True,0.0
FAMILY_ONLY__basic,0,4,V4UD_083_P01,V4UD_083,STATUS,True,1.0
FAMILY_ONLY__basic,0,4,V4UD_092_P01,V4UD_092,STATUS,False,0.0
FAMILY_ONLY__basic,0,4,V4UD_100_P01,V4UD_100,STATUS,True,0.0
FAMILY_ONLY__basic,0,4,V4UDW2_003_P01,V4UDW2_003,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,0,4,V4UDW2_013_P01,V4UDW2_013,STATUS,False,0.0
FAMILY_ONLY__basic,0,4,V4UDW2_019_P01,V4UDW2_019,STATUS,True,1.0
FAMILY_ONLY__basic,0,4,V4UDW2_024_P01,V4UDW2_024,STATUS,True,1.0
FAMILY_ONLY__basic,0,4,V4UDW2_026_P01,V4UDW2_026,STATUS,True,1.0
FAMILY_ONLY__basic,1,0,V4UD_007_P01,V4UD_007,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,0,V4UD_012_P01,V4UD_012,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,0,V4UD_014_P01,V4UD_014,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,1,0,V4UD_019_P01,V4UD_019,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,0,V4UD_005_P01,V4UD_005,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,1,0,V4UD_026_P01,V4UD_026,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,1,0,V4UD_040_P01,V4UD_040,PROJECT,False,1.0
FAMILY_ONLY__basic,1,0,V4UD_050_P01,V4UD_050,PROJECT,False,1.0
FAMILY_ONLY__basic,1,0,V4UD_055_P01,V4UD_055,PROJECT,True,0.0
FAMILY_ONLY__basic,1,0,V4UD_066_P01,V4UD_066,STATUS,True,0.0
FAMILY_ONLY__basic,1,0,V4UD_069_P01,V4UD_069,STATUS,True,0.0
FAMILY_ONLY__basic,1,0,V4UD_081_P01,V4UD_081,STATUS,False,0.0
FAMILY_ONLY__basic,1,0,V4UD_083_P01,V4UD_083,STATUS,True,1.0
FAMILY_ONLY__basic,1,0,V4UD_084_P01,V4UD_084,STATUS,False,0.0
FAMILY_ONLY__basic,1,0,V4UD_091_P01,V4UD_091,STATUS,True,0.0
FAMILY_ONLY__basic,1,0,V4UDW2_003_P01,V4UDW2_003,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,1,0,V4UDW2_005_P01,V4UDW2_005,PROJECT,False,0.0
FAMILY_ONLY__basic,1,0,V4UDW2_009_P01,V4UDW2_009,PROJECT,False,0.0
FAMILY_ONLY__basic,1,0,V4UDW2_024_P01,V4UDW2_024,STATUS,True,0.0
FAMILY_ONLY__basic,1,0,V4UDW2_026_P01,V4UDW2_026,STATUS,True,1.0
FAMILY_ONLY__basic,1,0,V4UDW2_034_P01,V4UDW2_034,STATUS,True,1.0
FAMILY_ONLY__basic,1,1,V4UD_008_P01,V4UD_008,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,1,V4UD_009_P01,V4UD_009,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,1,V4UD_017_P01,V4UD_017,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,1,V4UD_021_P01,V4UD_021,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,1,V4UD_023_P01,V4UD_023,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,1,1,V4UD_006_P01,V4UD_006,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,1,1,V4UD_038_P01,V4UD_038,PROJECT,False,1.0
FAMILY_ONLY__basic,1,1,V4UD_031_P01,V4UD_031,PROJECT,False,0.0
FAMILY_ONLY__basic,1,1,V4UD_043_P01,V4UD_043,PROJECT,False,1.0
FAMILY_ONLY__basic,1,1,V4UD_053_P01,V4UD_053,PROJECT,False,1.0
FAMILY_ONLY__basic,1,1,V4UD_060_P01,V4UD_060,STATUS,False,1.0
FAMILY_ONLY__basic,1,1,V4UD_076_P01,V4UD_076,STATUS,True,1.0
FAMILY_ONLY__basic,1,1,V4UD_082_P01,V4UD_082,STATUS,True,0.0
FAMILY_ONLY__basic,1,1,V4UDW2_010_P01,V4UDW2_010,PROJECT,True,1.0
FAMILY_ONLY__basic,1,1,V4UDW2_015_P01,V4UDW2_015,STATUS,False,0.0
FAMILY_ONLY__basic,1,1,V4UDW2_016_P01,V4UDW2_016,STATUS,True,0.0
FAMILY_ONLY__basic,1,1,V4UDW2_019_P01,V4UDW2_019,STATUS,True,1.0
FAMILY_ONLY__basic,1,1,V4UDW2_021_P01,V4UDW2_021,STATUS,True,1.0
FAMILY_ONLY__basic,1,1,V4UDW2_022_P01,V4UDW2_022,STATUS,True,1.0
FAMILY_ONLY__basic,1,1,V4UDW2_030_P01,V4UDW2_030,STATUS,False,0.0
FAMILY_ONLY__basic,1,2,V4UD_001_P01,V4UD_001,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,1,2,V4UD_002_P01,V4UD_002,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,1,2,V4UD_003_P01,V4UD_003,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,1,2,V4UD_004_P01,V4UD_004,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,2,V4UD_027_P01,V4UD_027,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,1,2,V4UD_036_P01,V4UD_036,PROJECT,False,1.0
FAMILY_ONLY__basic,1,2,V4UD_042_P01,V4UD_042,PROJECT,False,0.0
FAMILY_ONLY__basic,1,2,V4UD_046_P01,V4UD_046,PROJECT,False,1.0
FAMILY_ONLY__basic,1,2,V4UD_051_P01,V4UD_051,PROJECT,False,1.0
FAMILY_ONLY__basic,1,2,V4UD_057_P01,V4UD_057,STATUS,False,1.0
FAMILY_ONLY__basic,1,2,V4UD_078_P01,V4UD_078,STATUS,True,0.0
FAMILY_ONLY__basic,1,2,V4UD_080_P01,V4UD_080,STATUS,True,1.0
FAMILY_ONLY__basic,1,2,V4UD_092_P01,V4UD_092,STATUS,False,0.0
FAMILY_ONLY__basic,1,2,V4UD_094_P01,V4UD_094,STATUS,True,0.0
FAMILY_ONLY__basic,1,2,V4UDW2_001_P01,V4UDW2_001,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,2,V4UDW2_007_P01,V4UDW2_007,PROJECT,True,1.0
FAMILY_ONLY__basic,1,2,V4UDW2_018_P01,V4UDW2_018,STATUS,True,1.0
FAMILY_ONLY__basic,1,2,V4UDW2_020_P01,V4UDW2_020,STATUS,True,0.0
FAMILY_ONLY__basic,1,2,V4UDW2_029_P01,V4UDW2_029,STATUS,True,1.0
FAMILY_ONLY__basic,1,2,V4UDW2_038_P01,V4UDW2_038,STATUS,True,1.0
FAMILY_ONLY__basic,1,3,V4UD_018_P01,V4UD_018,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,1,3,V4UD_020_P01,V4UD_020,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,1,3,V4UD_022_P01,V4UD_022,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,1,3,V4UD_025_P01,V4UD_025,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,1,3,V4UD_029_P01,V4UD_029,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,1,3,V4UD_039_P01,V4UD_039,PROJECT,False,1.0
FAMILY_ONLY__basic,1,3,V4UD_044_P01,V4UD_044,PROJECT,False,0.0
FAMILY_ONLY__basic,1,3,V4UD_033_P01,V4UD_033,PROJECT,False,0.0
FAMILY_ONLY__basic,1,3,V4UD_048_P01,V4UD_048,PROJECT,False,0.0
FAMILY_ONLY__basic,1,3,V4UD_061_P01,V4UD_061,STATUS,True,1.0
FAMILY_ONLY__basic,1,3,V4UD_063_P01,V4UD_063,STATUS,True,0.0
FAMILY_ONLY__basic,1,3,V4UD_085_P01,V4UD_085,STATUS,True,0.0
FAMILY_ONLY__basic,1,3,V4UD_086_P01,V4UD_086,STATUS,False,1.0
FAMILY_ONLY__basic,1,3,V4UD_093_P01,V4UD_093,STATUS,True,1.0
FAMILY_ONLY__basic,1,3,V4UD_100_P01,V4UD_100,STATUS,True,0.0
FAMILY_ONLY__basic,1,3,V4UDW2_002_P01,V4UDW2_002,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,1,3,V4UDW2_004_P01,V4UDW2_004,PROJECT,True,0.0
FAMILY_ONLY__basic,1,3,V4UDW2_036_P01,V4UDW2_036,STATUS,True,0.0
FAMILY_ONLY__basic,1,3,V4UDW2_043_P01,V4UDW2_043,STATUS,True,1.0
FAMILY_ONLY__basic,1,3,V4UDW2_044_P01,V4UDW2_044,STATUS,False,0.0
FAMILY_ONLY__basic,1,4,V4UD_010_P01,V4UD_010,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,4,V4UD_013_P01,V4UD_013,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,1,4,V4UD_015_P01,V4UD_015,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,4,V4UD_016_P01,V4UD_016,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,1,4,V4UD_024_P01,V4UD_024,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,1,4,V4UD_030_P01,V4UD_030,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,1,4,V4UD_032_P01,V4UD_032,PROJECT,False,1.0
FAMILY_ONLY__basic,1,4,V4UD_049_P01,V4UD_049,PROJECT,False,1.0
FAMILY_ONLY__basic,1,4,V4UD_052_P01,V4UD_052,PROJECT,False,1.0
FAMILY_ONLY__basic,1,4,V4UD_054_P01,V4UD_054,PROJECT,False,0.0
FAMILY_ONLY__basic,1,4,V4UD_065_P01,V4UD_065,STATUS,False,0.0
FAMILY_ONLY__basic,1,4,V4UD_074_P01,V4UD_074,STATUS,True,0.0
FAMILY_ONLY__basic,1,4,V4UD_077_P01,V4UD_077,STATUS,True,0.0
FAMILY_ONLY__basic,1,4,V4UD_088_P01,V4UD_088,STATUS,True,1.0
FAMILY_ONLY__basic,1,4,V4UD_089_P01,V4UD_089,STATUS,True,0.0
FAMILY_ONLY__basic,1,4,V4UD_098_P01,V4UD_098,STATUS,True,1.0
FAMILY_ONLY__basic,1,4,V4UDW2_006_P01,V4UDW2_006,PROJECT,True,1.0
FAMILY_ONLY__basic,1,4,V4UDW2_013_P01,V4UDW2_013,STATUS,False,0.0
FAMILY_ONLY__basic,1,4,V4UDW2_023_P01,V4UDW2_023,STATUS,True,0.0
FAMILY_ONLY__basic,1,4,V4UDW2_040_P01,V4UDW2_040,STATUS,True,1.0
FAMILY_ONLY__basic,2,0,V4UD_010_P01,V4UD_010,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,2,0,V4UD_003_P01,V4UD_003,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,2,0,V4UD_016_P01,V4UD_016,COMPETITIVE,True,1.0
FAMILY_ONLY__basic,2,0,V4UD_020_P01,V4UD_020,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,2,0,V4UD_022_P01,V4UD_022,COMPETITIVE,False,0.0
FAMILY_ONLY__basic,2,0,V4UD_026_P01,V4UD_026,COMPETITIVE,True,0.0
FAMILY_ONLY__basic,2,0,V4UD_006_P01,V4UD_006,COMPETITIVE,False,1.0
FAMILY_ONLY__basic,2,0,V4UD_032_P01,V4UD_032,PROJECT,False,1.0
FAMILY_ONLY__basic,2,0,V4UD_044_P01,V4UD_044,PROJECT,False,1.0
FAMILY_ONLY__basic,2,0,V4UD_050_P01,V4UD_050,PROJECT,False,1.0
FAMILY_ONLY__basic,2,0,V4UD_051_P01,V4UD_051,PROJECT,False,1.0
FAMILY_ONLY__basic,2,0,V4UD_055_P01,V4UD_055,PROJECT,True,0.0
FAMILY_ONLY__basic,2,0,V4UD_066_P01,V4UD_066,STATUS,True,0.0
FAMILY_ONLY__basic,2,0,V4UD_074_P01,V4UD_074,STATUS,True,0.0
FAMILY_ONLY__basic,2,0,V4UD_083_P01,V4UD_083,STATUS,True,1.0
FAMILY_ONLY__basic,2,0,V4UD_086_P01,V4UD_086,STATUS,False,1.0
FAMILY_ONLY__basic,2,0,V4UDW2_013_P01,V4UDW2_013,STATUS,False,0.0
FAMILY_ONLY__basic,2,0,V4UDW2_016_P01,V4UDW2_016,STATUS,True,0.0
FAMILY_ONLY__basic,2,0,V4UDW2_019_P01,V4UDW2_019,STATUS,True,1.0
FAMILY_ONLY__basic,2,0,V4UDW2_022_P01,V4UDW2_022,STATUS,True,1.0
FAMILY_ONLY__basic,2,0,V4UDW2_023_P01,V4UDW2_023,STATUS,True,0.0
FAMILY_ONLY__basic,2,1,V4UD_002_P01,V4UD_002,COMPETITIVE,True,0.0
